"Qty","Parts","DIGIKEY_PART_NUMBER","MANUFACTURER","PART_NUMBER",
"2","C5, C13","311-1136-1-ND","","CC0805KRX7R9BB103",
"2","C7, C15","311-1141-1-ND","","CC0805KRX7R8BB104",
"2","C6, C14","490-1524-1-ND","Murata Electronics North America","GRM188R71E104KA01D",
"2","R7, R14","CRM0805-FX-R510ELFCT-ND","","CRM0805-FX-R510ELF",
"2","C3, C11","490-4762-1-ND ","","GCM155R71H103KA55D",
"2","R5, R12","541-10MJCT-ND","Vishay Dale","CRCW040210M0JNED",
"1","R15","541-10.0KHCT-ND","Vishay Dale","CRCW060310K0FKEA",
"2","R3, R10","541-162KLCT-ND","","CRCW0402162KFKED",
"2","C8, C16","587-1438-1-ND","","GMK212B7105KG-T",
"4","C1, C2, C9, C10","490-6527-1-ND","","GRM31MR71H105KA88L",
"2","L1, L2","SRN6045-330MCT-ND","","SRN6045-330M",
"2","R4, R11","541-4.02KHCT-ND","Vishay Dale","CRCW06034K02FKEA",
"2","C4, C12","399-5338-1-ND","KEMET","C0603X471K5RACTU",
"2","R2, R9","541-5.49KLCT-ND","","CRCW04025K49FKED",
"2","R1, R8","541-97.6KLCT-ND","","CRCW040297K6FKED",
"2","R6, R13","541-976LCT-ND","","CRCW0402976RFKED",
"1","U3","","","",
"4","D1, D2, D3, D4","1727-3848-1-ND","","PMEG6010CEH",
"7","3.3V, 24V, C+, C-, GND, W+, W-","","","",
"2","U1, U2","296-42113-1-ND","","TPS92513DGQT",
