Qty	Value	Device	Package	Parts	DATASHEET_URL	DIGIKEY_PART_NUMBER	PART_NUMBER	VALUE
2	0.1µF	08053C104KAT2A	0805	CBOOT, CBOOT1	http://datasheets.avx.com/X7RDielectric.pdf	478-3755-1-ND	08053C104KAT2A	0.1µF
2	0.1µF	CC0805KRX7R8BB104	0805	CCOMP, CCOMP1	http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_17.pdf	311-1141-1-ND	CC0805KRX7R8BB104	0.1µF
2	0.51	CRM0805-FX-R510ELF	0805	RSENSE, RSENSE2	http://www.bourns.com/docs/Product-Datasheets/CRM0805_1206_2010.pdf	CRM0805-FX-R510ELFCT-ND	CRM0805-FX-R510ELF	0.51
2	10000pF	CC0805KRX7R9BB103	0805	CIADJ, CIADJ1	http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_17.pdf	311-1136-1-ND	CC0805KRX7R9BB103	10000pF
2	10000pF	GCM155R71H103KA55D	0402	CINX, CINX1	http://psearch.en.murata.com/capacitor/product/GCM155R71H103KA55%23.pdf	490-4762-1-ND 	GCM155R71H103KA55D	10000pF
2	162k	CRCW0402162KFKED	0402	RT, RT1	http://www.vishay.com/docs/20035/dcrcwe3.pdf	541-162KLCT-ND	CRCW0402162KFKED	162k
2	1µF	GMK212B7105KG-T	0805	COUT, COUT1	http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=GMK212B7105KG-T&fileName=GMK212B7105KG-T_SS&mode=specSheetDownload	587-1438-1-ND	GMK212B7105KG-T	1µF
4	1µF	GRM31MR71H105KA88L	1206	CIN, CIN1, CIN2, CIN3	http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx	490-6527-1-ND	GRM31MR71H105KA88L	1µF
2	33µH	SRN6045-330M	SRN6045	L1, L2	http://www.bourns.com/docs/Product-Datasheets/SRN6045.pdf	SRN6045-330MCT-ND	SRN6045-330M	33µH
2	5.49k	CRCW04025K49FKED	0402	RUVLOB, RUVLOB1	http://www.vishay.com/docs/20035/dcrcwe3.pdf	541-5.49KLCT-ND	CRCW04025K49FKED	5.49k
2	97.6k	CRCW040297K6FKED	0402	RUVLOT, RUVLOT1	http://www.vishay.com/docs/20035/dcrcwe3.pdf	541-97.6KLCT-ND	CRCW040297K6FKED	97.6k
4	976	CRCW0402976RFKED	0402	RIADJ, RIADJ1, RSENSE1, RSENSE3	http://www.vishay.com/docs/20035/dcrcwe3.pdf	541-976LCT-ND	CRCW0402976RFKED	976
4	PMEG6010CEH,115	PMEG6010CEH,115	SOD-123F	D1, D2, D8, D9	http://assets.nexperia.com/documents/data-sheet/PMEG6010CEH_PMEG6010CEJ.pdf	1727-3848-1-ND	PMEG6010CEH,115
2	TPS92513	TPS92513	TPS92513	U1, U2	http://www.ti.com/lit/ds/symlink/tps92513.pdf	296-42113-1-ND	TPS92513DGQT
5	XPGWHT-L1-0000-00BE8	XPGWHT-L1-0000-00BE8	XLAMP-XPG	D3, D4, D5, D6, D7	http://www.cree.com/led-components/media/documents/XLampXPG.pdf	XPGWHT-L1-0000-00BE8CT-ND	XPGWHT-L1-0000-00BE8
5	XPGWHT-L1-0000-00G51	XPGWHT-L1-0000-00G51	XLAMP-XPG	D10, D11, D12, D13, D14	http://www.cree.com/led-components/media/documents/XLampXPG.pdf	XPGWHT-L1-0000-00G51CT-ND	XPGWHT-L1-0000-00G51
