"Qty","Parts","DIGIKEY_PART_NUMBER","MANUFACTURER","PART_NUMBER",
"1","C1","478-5052-1-ND","AVX Corporation","06035C104KAT2A",
"1","C9","478-3755-1-ND","AVX Corporation","08053C104KAT2A",
"2","R8, R9","CSR1206FKR750CT-ND","Stackpole Electronics Inc.","CSR1206FKR750",
"1","R12","541-100KLCT-ND","Vishay Dale","CRCW0402100KFKED",
"2","R10, R11","541-10KECT-ND","Vishay Dale","CRCW120610K0JNEA",
"1","L1","SDR0503-100MLCT-ND","Bourns Inc.","SDR0503-100ML",
"1","R2","541-19.6KHCT-ND","Vishay Dale","CRCW060319K6FKEA",
"1","C10","445-8025-1-ND","TDK Corporation","C1608X5R1V225K080AC",
"1","C2","490-6514-1-ND","Murata Electronics North America","GRM31CR61H225KA88L",
"1","C4","490-9384-ND","Murata Electronics North America","DE1E3KX222MA4BN01F",
"2","C7, C8","493-14552-1-ND","Nichicon","UHE1V221MPD6",
"1","C11","490-1719-1-ND","Murata Electronics North America","GRM21BR60J226ME39L",
"2","R5, R6","541-3.3MACT-ND","Vishay Dale","CRCW08053M30JNEA",
"1","R7","541-33.2AACT-ND","Vishay Dale","CRCW121033R2FKEA",
"1","F1","WK4957BK-ND","Littelfuse Inc.","37012000410",
"1","R3","541-4.7ECT-ND","Vishay Dale","CRCW12064R70JNEA",
"2","C5, C6","587-2994-1-ND","Taiyo Yuden","UMK316AB7475KL-T",
"1","C3","P13546-ND","Panasonic Electronic Components","EEU-ED2G470S",
"1","R4","541-698FCT-ND","Vishay Dale","CRCW1206698RFKEA",
"1","T1","","Wurth Electronics Midcom","750811647",
"1","R1","541-75.0KHCT-ND","Vishay Dale","CRCW060375K0FKEA",
"1","D1","BAS20HT1GOSCT-ND","ON Semiconductor","BAS20HT1G",
"1","Q1","IPD65R600C6BTMA1CT-ND","Infineon Technologies","IPD65R600C6",
"1","D2","RH06DICT-ND","Diodes Incorporated","RH06-T",
"1","D5","SK4200L-TPMSCT-ND","Micro Commercial Co","SK4200L-TP",
"1","D3","SMAJ120ALFCT-ND","Littelfuse Inc.","SMAJ120A",
"5","3.3V, 24V, GND, L, N","","","",
"1","U2","296-41856-1-ND","Texas Instruments","TPS62177DQCR",
"1","U1","296-39536-1-ND","Texas Instruments","UCC28700DBVR",
"1","D4","US1M-FDICT-ND","Diodes Incorporated","US1M-13-F",
